,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Itgal,179.99053741276006,0.6868387448632488,0.39701625100313814,1.730001588418152,0.08362999143245835,0.9998350115734302
Mcf2,762.8542911114072,-0.032385442050863585,0.14351043852929088,-0.22566610751630883,0.8214611203997033,0.9998350115734302
Lrrc43,52.21234501580833,-0.03571894989177483,0.5137680680034132,-0.06952349146684907,0.944572934404806,0.9998350115734302
Tes,312.2952690150727,0.013269082865103915,0.20018968869700277,0.06628254907368053,0.9471528764904042,0.9998350115734302
Cysltr2,16.15466031658459,-0.14716236715917494,0.7623884279661091,-0.19302807041782227,0.8469369844671621,0.9998350115734302
Cers6,6020.521957638032,0.013613082179175206,0.07366676545982716,0.18479272293553944,0.853391615816963,0.9998350115734302
Cdip1,30693.716246341635,0.03667855942844113,0.05848543260073613,0.6271400893763667,0.530567410501941,0.9998350115734302
Syt7,39558.36544481589,0.06111230007400135,0.07396402287739236,0.8262435937983676,0.40866592356213316,0.9998350115734302
Aanat,12.835526444011606,0.19824191610709357,0.864202187758095,0.22939298108162726,0.8185634910190162,0.9998350115734302
Ncl,32709.237569330504,-0.03513340421146766,0.08014238027884532,-0.43838733126250307,0.6611055285138423,0.9998350115734302
Bglap3,60.35016225400199,-0.41506174789829375,0.3906623657939606,-1.0624564438264874,0.28802852137171164,0.9998350115734302
Or4k15,8.739651569900774,0.018314454921355174,1.0987916770857353,0.01666781365684312,0.986701624573988,0.9998350115734302
Arl4a,6232.276341519423,-0.13779224255374128,0.07115938486795344,-1.9363888938814575,0.05282008868813375,0.9998350115734302
Nostrin,292.1398192744167,-0.11508886436244696,0.2214093738563634,-0.5198012277344203,0.6032021235457874,0.9998350115734302
Kcnip1,3302.4810440542574,-0.033995975475021624,0.10970021167116033,-0.30989890499873124,0.7566378355281317,0.9998350115734302
Or4k5,11.164081255351604,0.4511997329884935,0.9680526594271508,0.466090071231758,0.6411510298783085,0.9998350115734302
4930447C04Rik,362.68415918926,-0.46088082330512353,0.24968662724956595,-1.8458370333324476,0.0649158716052321,0.9998350115734302
Or4k6,158.78278486357453,-0.0706685020528433,0.28452626159078626,-0.24837251105657424,0.8038462003267635,0.9998350115734302
Bglap2,76.6066223820002,-1.3437945820235357,0.4351293177930533,-3.088264860752596,0.00201328948148806,0.34886421418697494
Or4n4,3.8718409155236855,-1.102846657998146,1.577592836376407,-0.6990692608184559,0.48450874769259933,0.9998350115734302
4930562C15Rik,13.065144079534202,-0.21577227646413333,0.8447468270024237,-0.2554283361203016,0.7983922874027897,0.9998350115734302
Rnaset2b,2367.103513291724,0.25182280756027403,0.14995984864793793,1.6792682163308972,0.09309978242279772,0.9998350115734302
Bglap,80.17871023973186,-1.1623656533838576,0.44671897262849153,-2.602006461790744,0.009268010596574922,0.7817998776156252
Or4m1,13.069560672853797,0.2839719716596767,0.9220608791920135,0.3079752954148934,0.7581011306926406,0.9998350115734302
Cav2,5576.990532351345,-0.15577320373525494,0.11278812977236966,-1.381113456262093,0.16724407878866276,0.9998350115734302
Or4q3,222.05615689789758,-0.21487101324024702,0.2653318648498973,-0.809819858469706,0.41804371744231117,0.9998350115734302
Wars2,870.122142393018,0.1829793445106245,0.13986187957887322,1.308286039495385,0.19077630846237048,0.9998350115734302
Ntng2,4515.3951750327515,0.12589196559575683,0.08082315299935028,1.5576225490333053,0.11932275015617429,0.9998350115734302
Abcb1a,4654.401804331322,0.0020333739731598923,0.10278396940908158,0.01978298741379637,0.9842164893058183,0.9998350115734302
Or11g24,8.028040652938147,-0.009607843439844417,1.063335724749914,-0.009035569121035678,0.992790756995972,0.9998350115734302
Kcnmb1,82.84118804413193,0.10348388278754561,0.32788675140479345,0.31560861286459635,0.7522995994776578,0.9998350115734302
Ubald1,15100.01670746818,0.04753472702242568,0.06628860690837678,0.7170874338651819,0.4733201489365757,0.9998350115734302
Far2,2857.357688387959,-0.04153207172789681,0.09171736864550634,-0.45282668202596393,0.6506735488646854,0.9998350115734302
Or11g7,34.995544926428686,0.6387277510802624,0.6468675821962909,0.9874165419012163,0.3234384782669921,0.9998350115734302
Capn2,10345.131056817723,0.081275335830957,0.06855949255536178,1.1854716655804765,0.23583101111944405,0.9998350115734302
Vdr,59.07609907992145,-0.22395523814597693,0.5287975142763827,-0.4235179479851411,0.6719174064901272,0.9998350115734302
Mgrn1,26111.96051145243,0.03799139034117829,0.057481651637974196,0.6609307363061219,0.5086567336584373,0.9998350115734302
Nkiras2,1643.2294642877935,0.04915684647325763,0.10011728414345686,0.490992608257545,0.6234316755757849,0.9998350115734302
Or11g26,13.992756129976001,0.5686978705008693,0.9982375358906238,0.5697019497403283,0.5688798674415307,0.9998350115734302
Mtcp1,164.4494232662188,-0.1313024275917161,0.25962099951923856,-0.5057465606975536,0.6130345776907116,0.9998350115734302
Gm49721,102.68819415915766,-0.8863334257064828,2.86021834449761,-0.3098831344157975,0.7566498287157525,0.9998350115734302
Gm1604b,214.65819750851153,0.01913461067752948,0.24733431637229647,0.07736334754586734,0.9383344977856393,0.9998350115734302
Nid2,744.2053636217373,0.09357581293922818,0.15787930377481676,0.5927047478794012,0.5533787634256272,0.9998350115734302
Kdm4c,2986.7725476673713,-0.09630165605103995,0.08828658055658223,-1.0907847539674609,0.2753676065778742,0.9998350115734302
Baiap3,4525.428010565826,0.26879474718955415,0.3741529401010255,0.7184087531611446,0.47250529128910956,0.9998350115734302
Reps2,30748.231970930177,-0.10018281802924016,0.08282421741952184,-1.2095836356870528,0.22643870057857884,0.9998350115734302
Cxxc4,4306.543819336638,-0.04079521609960196,0.07920671019921538,-0.5150474751065482,0.6065198452417137,0.9998350115734302
Stat6,1366.587986305345,0.2583825029193218,0.14120077081827365,1.829894422119422,0.06726572769148624,0.9998350115734302
Mthfs,323.59000546947465,0.0819918398024036,0.2486218330338451,0.32978535634576384,0.7415621528971281,0.9998350115734302
Myo15a,27.194176628366538,0.2097999814732603,0.804168756478951,0.2608904906873882,0.7941769583015729,0.9998350115734302
Six6,27.690478739247393,2.3062093433502255,0.8438904030198728,2.732830394915531,0.006279265772816458,0.6435440940267025
Pmf1,432.1518818345162,-0.21456117670071143,0.18714796435219705,-1.1464788166059074,0.25159708732604624,0.9998350115734302
Tmem106c,2580.3506114219435,-0.06255572733229792,0.09995630714725454,-0.6258307166164263,0.5314259821346146,0.9998350115734302
Six1,127.24018223760437,0.01312927565808296,0.3564339985962614,0.03683508225867843,0.9706165014226158,0.9998350115734302
Abcb1b,314.97332370644915,-0.1851683764016131,0.18439710700636058,-1.0041826545316999,0.3152905811364627,0.9998350115734302
Lman1l,10.157763626447377,-0.07147529836894315,1.0367624087578868,-0.06894086607034249,0.9450366894631004,0.9998350115734302
Tbx15,302.9698160128365,-0.09744171375765476,0.23168490986265283,-0.42057859450328483,0.6740628271240686,0.9998350115734302
Six4,130.10944417598265,-0.1840778878381744,0.2760542218505202,-0.6668178686209342,0.5048884776374267,0.9998350115734302
Bicc1,1124.961868797321,-0.00800533218209367,0.14919865849112027,-0.053655523870344425,0.9572096185333688,0.9998350115734302
Nmur1,11.722035577831837,-0.5829289733129894,1.06172119217479,-0.549041478694552,0.5829769847859418,0.9998350115734302
Scin,20.747051885850663,0.24241478782643164,0.757039708807228,0.32021409842341564,0.7488060364380182,0.9998350115734302
Nfe2l3,510.15051785608176,0.20099244356183965,0.15183628588847772,1.323744468495934,0.18558792446008987,0.9998350115734302
Dmac1,2379.0201660146317,0.04895086304828592,0.086993384621814,0.5626963850307678,0.5736416462666075,0.9998350115734302
Map3k19,529.5472717408329,-0.13402846209399746,0.1809120601533817,-0.7408486862642812,0.4587851914278789,0.9998350115734302
Tacr3,505.26751674086546,-0.062322925520832045,0.20412304273035037,-0.3053203826829173,0.7601221534878405,0.9998350115734302
Sall1,3217.7790663207275,-0.10763918592516165,0.12949644003526606,-0.8312134750256303,0.4058530438279139,0.9998350115734302
Slc25a26,1775.8018624112194,-0.14004284567568098,0.11701790737739456,-1.1967642287776405,0.23139846450577806,0.9998350115734302
Sesn3,22531.60782434896,0.00863111690537419,0.06825301151452237,0.12645767144703532,0.8993696532889541,0.9998350115734302
Psmc3,17409.289552957736,0.034549253202422664,0.06640010783764658,0.5203192333195945,0.6028410927210031,0.9998350115734302
Dnajc8,8304.503463296607,0.002545841239021329,0.08468123903538304,0.030063816590562398,0.9760161578562638,0.9998350115734302
Tox3,2069.2427839572388,-0.1399032984329553,0.13814467932870764,-1.0127302702702223,0.3111890150879072,0.9998350115734302
Brcc3,4106.158480451503,-0.03301928925800461,0.08478858998938378,-0.3894308097603568,0.696957484402556,0.9998350115734302
Kcnv1,15144.19590060728,-0.041304181525129005,0.07799458777254842,-0.5295775348615503,0.5964048736295022,0.9998350115734302
Slc25a44,13328.844483626684,0.046846691792503545,0.07128842471202092,0.6571430352367441,0.5110889496144324,0.9998350115734302
Rtraf,7024.917183843885,-0.0703441519567709,0.08869092424462818,-0.7931381091795477,0.4276973616751104,0.9998350115734302
Nfatc1,759.6704883726765,0.04590051916699879,0.14400232636282959,0.3187484558502716,0.7499172671898963,0.9998350115734302
Gm19935,256.5472501014337,0.07171657948783293,0.2530522066830402,0.2834062600278421,0.7768654302167557,0.9998350115734302
Lnx1,2789.939765776158,-0.0230377921945629,0.08288280275162527,-0.2779562397714784,0.7810459510944158,0.9998350115734302
