,C1,C2,C3,KO1,KO2,KO3
Smim5,41,18,76,131,58,48
6430571L13Rik,561,220,816,812,1082,657
Cdc16,5634,2813,6507,8221,5803,6208
Or5d46,0,0,0,0,0,0
Drosha,15171,6653,16337,20913,14685,17366
Cldn12,6844,3209,7573,9682,7483,7720
Pcdha11,1059,498,1216,1583,1143,1166
Mfsd4b1,61,24,57,71,54,64
Smim6,0,0,3,0,0,4
Rtf1,13417,5540,15065,18395,12595,15472
Kdm4b,8878,4249,10182,12563,8950,10630
Arhgap20,13735,5933,15455,18026,12789,17345
Slc16a10,379,127,492,528,387,348
Kif20b,97,44,112,146,132,96
Sap30bp,6927,3159,7912,9334,6924,7089
Ptpn13,2085,1084,2510,3138,1970,2430
Tbk1,5704,2375,6285,7798,5372,5897
Or5d3,0,0,0,0,0,0
Gcg,11,5,2,0,7,9
Clstn3,67104,29587,72603,86970,60011,74740
Upf3a,4324,1825,5026,5999,4558,4659
Cdon,1208,569,1703,2120,1435,1608
5730522E02Rik,216,72,184,294,151,209
Zfp532,6290,2918,8003,9956,7363,8425
Fancm,1409,502,1779,1798,1246,1808
Or4p7,64,23,57,66,52,83
Cdk12,2881,1234,2952,3964,2591,3479
Prelid3b,5341,2549,6636,7700,5971,5565
Semp2l2a,5,0,2,6,4,6
Champ1,5160,2164,5580,6953,5317,5544
Xpnpep2,56,32,119,155,80,57
Slc10a6,6,0,8,0,5,3
Coprs,2092,1024,2467,3201,2201,2110
Xpot,14958,6445,17742,21548,15074,16800
Vmn1r184,21,10,24,39,12,23
Bhlha15,10,7,21,10,19,20
Irf2,2671,1137,2915,3582,2582,2740
Cd33,736,475,973,1339,969,953
Itpka,28552,12897,34037,39185,27283,29297
Gtpbp10,1287,599,1481,1922,1331,1315
Cdkal1,1300,484,1607,1921,1411,1357
Cpa6,220,90,217,288,243,234
Surf2,2074,975,2481,3076,2365,2336
Fdx1,942,525,1268,1706,1170,980
C1rl,83,23,74,94,61,98
Caskin1,20387,9960,23126,27289,18881,23473
Tfg,6822,3484,7270,8842,6731,7287
Cdh6,4892,1880,5458,6608,4855,5894
Rdx,12041,5791,13273,16430,11130,11990
Zfp658,603,253,715,855,707,707
Angpt4,40,25,37,17,18,39
Rgsl1,131,64,124,176,116,132
Cyp2a4,0,0,0,0,0,0
Gm8773,31,19,14,34,27,16
Rpf2,2088,906,2214,3260,2158,2002
Hdac10,971,430,1187,1451,1004,1264
1700016H13Rik,0,6,0,3,6,14
Adgrg7,2,0,1,0,0,1
Gm6525,3,0,16,15,2,2
Zfp719,1996,915,2389,3030,2014,2051
Or4p18,0,0,0,0,0,0
Ndst4,2076,1062,2307,3196,3060,4121
Ap1g1,16282,6896,17528,21990,14535,17993
Zfp831,3606,1790,4244,5819,3051,4655
Or4p19,0,0,0,0,0,0
Zfp819,16,11,16,31,7,10
Tmem45a,65,71,113,142,88,85
Or4p20,5,6,7,4,5,6
Neurod2,11024,4346,13288,14349,10604,12853
C1ra,309,132,411,671,401,308
Or4p21,0,0,0,0,0,0
Wnt3a,3,10,0,3,0,7
Sult2a2,0,0,0,0,0,0
Wnt9a,2996,925,3335,3846,2935,3427
Sash3,253,119,237,333,283,254
Ceacam18,1,1,9,0,3,5
Surf4,10957,5342,12253,15053,10620,11006
Lnp1,53,33,91,48,59,78
Tmem45a2,5,2,6,6,5,28
Ugt8a,13280,8530,14243,15554,9375,13563
Fancl,745,386,1021,1034,759,836
Maea,10605,5103,12131,15665,10767,11039
Teddm2,466,189,534,685,415,600
Zc3h12c,1672,807,1994,2408,1710,2292
Tmc3,852,405,1137,1215,970,918
Teddm1b,32,8,37,21,11,27
Teddm1a,1,0,1,0,2,0
Hcfc1,14531,6417,16686,19225,13354,17693
Nabp1,1205,597,1421,2074,1263,1337
AI593442,33651,13459,34168,47981,33115,38275
